=== en-de ===
family |  |  | Nomen | die Familie | My family lives in Switzerland. | Meine Familie lebt in der Schweiz. | Her family eats dinner together. | Ihre Familie isst gemeinsam zu Abend. | ˈfæməli
mother |  |  | Nomen | die Mutter | My mother works at home. | Meine Mutter arbeitet zu Hause. | His mother makes good soup. | Seine Mutter macht eine gute Suppe. | ˈmʌðə
father |  |  | Nomen | der Vater | My father reads a book. | Mein Vater liest ein Buch. | Her father drives the car. | Ihr Vater fährt das Auto. | ˈfɑːðə
parents |  | pl | Nomen | die Eltern | My parents live in Zurich. | Meine Eltern wohnen in Zürich. | Her parents come home today. | Ihre Eltern kommen heute nach Hause. | ˈpeərənts
sister |  |  | Nomen | die Schwester | My sister goes to school. | Meine Schwester geht zur Schule. | His sister plays in the garden. | Seine Schwester spielt im Garten. | ˈsɪstə
brother |  |  | Nomen | der Bruder | Her brother has a dog. | Ihr Bruder hat einen Hund. | My brother drinks some milk. | Mein Bruder trinkt etwas Milch. | ˈbrʌðə
grandmother |  |  | Nomen | die Grossmutter | My grandmother makes fresh bread. | Meine Grossmutter macht frisches Brot. | His grandmother lives near the station. | Seine Grossmutter wohnt nahe beim Bahnhof. | ˈɡrænmʌðə
grandfather |  |  | Nomen | der Grossvater | Her grandfather reads every day. | Ihr Grossvater liest jeden Tag. | My grandfather has an old car. | Mein Grossvater hat ein altes Auto. | ˈɡrænfɑːðə
daughter |  |  | Nomen | die Tochter | Their daughter is ten years old. | Ihre Tochter ist zehn Jahre alt. | His daughter learns English at school. | Seine Tochter lernt in der Schule Englisch. | ˈdɔːtə
son |  |  | Nomen | der Sohn | Their son plays with the dog. | Ihr Sohn spielt mit dem Hund. | Her son comes home tomorrow. | Ihr Sohn kommt morgen nach Hause. | ˈsʌn
child | child, children |  | Nomen | das Kind | The child drinks some water. | Das Kind trinkt etwas Wasser. | Every child has a book. | Jedes Kind hat ein Buch. | ˈtʃaɪld
man | man, men |  | Nomen | der Mann | The man opens the door. | Der Mann öffnet die Tür. | A young man drives the car. | Ein junger Mann fährt das Auto. | ˈmæn
woman | woman, women |  | Nomen | die Frau | The woman buys some cheese. | Die Frau kauft etwas Käse. | A woman waits at the station. | Eine Frau wartet am Bahnhof. | ˈwʊmən
friend |  |  | Nomen | der Freund | My friend lives near school. | Mein Freund wohnt nahe bei der Schule. | I see my friend today. | Ich sehe meinen Freund heute. | ˈfrend
school |  |  | Nomen | die Schule | Our school is very big. | Unsere Schule ist sehr gross. | We go to school together. | Wir gehen gemeinsam zur Schule. | ˈskuːl
teacher |  |  | Nomen | der Lehrer | The teacher writes on the board. | Der Lehrer schreibt an die Tafel. | Our teacher asks a question. | Unser Lehrer stellt eine Frage. | ˈtiːtʃə
pupil |  |  | Nomen | der Schüler | The pupil opens his book. | Der Schüler öffnet sein Buch. | Every pupil has a pencil. | Jeder Schüler hat einen Bleistift. | ˈpjuːpəl
book |  |  | Nomen | das Buch | This book is very good. | Dieses Buch ist sehr gut. | I read a book today. | Ich lese heute ein Buch. | ˈbʊk
exercise book |  |  | Nomen | das Heft | My exercise book is new. | Mein Heft ist neu. | She writes in her exercise book. | Sie schreibt in ihr Heft. | ˈeksəsaɪz bʊk
pencil |  |  | Nomen | der Bleistift | I write with a pencil. | Ich schreibe mit einem Bleistift. | His pencil is on the table. | Sein Bleistift liegt auf dem Tisch. | ˈpensəl
pen |  |  | Nomen | der Kugelschreiber | My pen is in my bag. | Mein Kugelschreiber ist in meiner Tasche. | She writes the answer with a pen. | Sie schreibt die Antwort mit einem Kugelschreiber. | ˈpen
board |  |  | Nomen | die Tafel | The answer is on the board. | Die Antwort steht an der Tafel. | Our teacher cleans the board. | Unser Lehrer reinigt die Tafel. | ˈbɔːd
